token_id,status,entity,access,architecture,material,eyes,interface,implant,mantle,background,signal,corruption
30,feasibility_only_not_final_art,entity.specter,access.user,architecture.sealed,material.reconstructed,eyes.void,interface.forensic_plate,implant.none,mantle.archive_coat,background.cold_storage,signal.locked,corruption.intact
31,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.porcelain,eyes.biometric,interface.respirator,implant.spinal_bus,mantle.ceramic_mantle,background.rack_shadow,signal.silent,corruption.intact
32,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.none,implant.none,mantle.split_shell,background.cold_storage,signal.locked,corruption.packet_ghosting
33,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.thermal,interface.none,implant.antenna,mantle.archive_coat,background.rack_shadow,signal.intermittent,corruption.scan_shear
34,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.biometric,interface.neural_veil,implant.neural_cable,mantle.ceramic_mantle,background.cold_storage,signal.locked,corruption.scan_shear
35,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.respirator,implant.none,mantle.field_collar,background.evidence_void,signal.intermittent,corruption.intact
36,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.biometric,interface.forensic_plate,implant.none,mantle.ceramic_mantle,background.evidence_void,signal.locked,corruption.scan_shear
37,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.reconstructed,eyes.biometric,interface.none,implant.spinal_bus,mantle.archive_coat,background.cold_storage,signal.carrier_echo,corruption.intact
38,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.carbon,eyes.void,interface.null_mask,implant.none,mantle.archive_coat,background.cold_storage,signal.carrier_echo,corruption.scan_shear
39,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.biometric,interface.forensic_plate,implant.neural_cable,mantle.field_collar,background.evidence_void,signal.locked,corruption.packet_ghosting
40,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.thermal,interface.none,implant.antenna,mantle.archive_coat,background.cold_storage,signal.locked,corruption.intact
41,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.ceramic,eyes.fractured,interface.neural_veil,implant.neural_cable,mantle.archive_coat,background.rack_shadow,signal.carrier_echo,corruption.checksum_burn
42,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.porcelain,eyes.optical_array,interface.none,implant.none,mantle.archive_coat,background.relay_well,signal.locked,corruption.scan_shear
43,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.ceramic,eyes.biometric,interface.none,implant.spinal_bus,mantle.archive_coat,background.service_tunnel,signal.intermittent,corruption.intact
44,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.fractured,interface.respirator,implant.neural_cable,mantle.ceramic_mantle,background.anechoic_room,signal.locked,corruption.intact
45,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.respirator,implant.none,mantle.archive_coat,background.evidence_void,signal.locked,corruption.intact
46,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.ceramic,eyes.fractured,interface.forensic_plate,implant.none,mantle.split_shell,background.evidence_void,signal.intermittent,corruption.intact
47,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.respirator,implant.antenna,mantle.field_collar,background.cold_storage,signal.locked,corruption.intact
48,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.thermal,interface.forensic_plate,implant.neural_cable,mantle.ceramic_mantle,background.anechoic_room,signal.intermittent,corruption.intact
49,feasibility_only_not_final_art,entity.specter,access.user,architecture.sealed,material.phase_glass,eyes.fractured,interface.none,implant.none,mantle.unsupported_frame,background.cold_storage,signal.locked,corruption.intact
50,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.carbon,eyes.void,interface.none,implant.spinal_bus,mantle.cable_shroud,background.relay_well,signal.silent,corruption.intact
51,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.biometric,interface.forensic_plate,implant.neural_cable,mantle.archive_coat,background.evidence_void,signal.locked,corruption.checksum_burn
52,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.thermal,interface.none,implant.none,mantle.archive_coat,background.service_tunnel,signal.intermittent,corruption.intact
53,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.fractured,interface.respirator,implant.none,mantle.field_collar,background.relay_well,signal.locked,corruption.packet_ghosting
54,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.carbon,eyes.thermal,interface.forensic_plate,implant.antenna,mantle.archive_coat,background.cold_storage,signal.intermittent,corruption.checksum_burn
55,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.void,interface.forensic_plate,implant.neural_cable,mantle.archive_coat,background.relay_well,signal.intermittent,corruption.packet_ghosting
56,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.forensic_plate,implant.none,mantle.cable_shroud,background.cold_storage,signal.locked,corruption.intact
57,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.reconstructed,eyes.thermal,interface.none,implant.none,mantle.field_collar,background.evidence_void,signal.locked,corruption.scan_shear
58,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.biometric,interface.none,implant.neural_cable,mantle.ceramic_mantle,background.relay_well,signal.locked,corruption.intact
59,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.biometric,interface.respirator,implant.spinal_bus,mantle.ceramic_mantle,background.cold_storage,signal.locked,corruption.checksum_burn
60,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.carbon,eyes.thermal,interface.forensic_plate,implant.none,mantle.ceramic_mantle,background.cold_storage,signal.locked,corruption.checksum_burn
61,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.biometric,interface.none,implant.neural_cable,mantle.ceramic_mantle,background.cold_storage,signal.intermittent,corruption.intact
62,feasibility_only_not_final_art,entity.specter,access.user,architecture.sealed,material.carbon,eyes.signal_burn,interface.skeletal_interface,implant.neural_cable,mantle.split_shell,background.service_tunnel,signal.locked,corruption.intact
63,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.ceramic,eyes.optical_array,interface.forensic_plate,implant.neural_cable,mantle.ceramic_mantle,background.cold_storage,signal.intermittent,corruption.checksum_burn
64,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.porcelain,eyes.biometric,interface.forensic_plate,implant.neural_cable,mantle.ceramic_mantle,background.cold_storage,signal.silent,corruption.intact
65,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.ceramic,eyes.void,interface.forensic_plate,implant.spinal_bus,mantle.archive_coat,background.cold_storage,signal.locked,corruption.intact
66,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.carbon,eyes.biometric,interface.respirator,implant.none,mantle.cable_shroud,background.relay_well,signal.carrier_echo,corruption.intact
67,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.carbon,eyes.void,interface.none,implant.none,mantle.ceramic_mantle,background.anechoic_room,signal.intermittent,corruption.scan_shear
68,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.optical_array,interface.none,implant.neural_cable,mantle.ceramic_mantle,background.cold_storage,signal.silent,corruption.intact
69,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.carbon,eyes.biometric,interface.none,implant.neural_cable,mantle.field_collar,background.evidence_void,signal.intermittent,corruption.intact
70,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.biometric,interface.respirator,implant.none,mantle.cable_shroud,background.rack_shadow,signal.carrier_echo,corruption.scan_shear
71,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.fractured,interface.none,implant.none,mantle.archive_coat,background.rack_shadow,signal.locked,corruption.checksum_burn
72,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.ceramic,eyes.void,interface.neural_veil,implant.neural_cable,mantle.ceramic_mantle,background.cold_storage,signal.locked,corruption.scan_shear
73,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.carbon,eyes.fractured,interface.forensic_plate,implant.neural_cable,mantle.ceramic_mantle,background.anechoic_room,signal.intermittent,corruption.intact
74,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.respirator,implant.antenna,mantle.cable_shroud,background.anechoic_room,signal.locked,corruption.intact
75,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.reconstructed,eyes.thermal,interface.null_mask,implant.none,mantle.cable_shroud,background.uplink_black,signal.locked,corruption.checksum_burn
76,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.ceramic,eyes.thermal,interface.none,implant.neural_cable,mantle.cable_shroud,background.rack_shadow,signal.locked,corruption.intact
77,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.ceramic,eyes.fractured,interface.forensic_plate,implant.none,mantle.archive_coat,background.cold_storage,signal.intermittent,corruption.intact
78,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.optical_array,interface.forensic_plate,implant.none,mantle.archive_coat,background.service_tunnel,signal.intermittent,corruption.memory_bleed
79,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.porcelain,eyes.void,interface.none,implant.none,mantle.ceramic_mantle,background.evidence_void,signal.carrier_echo,corruption.intact
80,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.ceramic,eyes.fractured,interface.null_mask,implant.antenna,mantle.archive_coat,background.cold_storage,signal.locked,corruption.intact
81,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.biometric,interface.neural_veil,implant.none,mantle.split_shell,background.cold_storage,signal.carrier_echo,corruption.scan_shear
82,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.carbon,eyes.optical_array,interface.forensic_plate,implant.none,mantle.ceramic_mantle,background.evidence_void,signal.intermittent,corruption.intact
83,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.fractured,interface.forensic_plate,implant.antenna,mantle.archive_coat,background.evidence_void,signal.intermittent,corruption.intact
84,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.carbon,eyes.thermal,interface.none,implant.none,mantle.ceramic_mantle,background.rack_shadow,signal.intermittent,corruption.scan_shear
85,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.carbon,eyes.void,interface.forensic_plate,implant.spinal_bus,mantle.ceramic_mantle,background.relay_well,signal.intermittent,corruption.intact
86,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.fractured,interface.respirator,implant.spinal_bus,mantle.archive_coat,background.evidence_void,signal.intermittent,corruption.intact
87,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.ceramic,eyes.thermal,interface.null_mask,implant.neural_cable,mantle.cable_shroud,background.relay_well,signal.locked,corruption.scan_shear
88,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.porcelain,eyes.void,interface.none,implant.spinal_bus,mantle.archive_coat,background.rack_shadow,signal.locked,corruption.intact
89,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.ceramic,eyes.fractured,interface.none,implant.neural_cable,mantle.archive_coat,background.service_tunnel,signal.carrier_echo,corruption.intact
90,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.carbon,eyes.void,interface.none,implant.neural_cable,mantle.cable_shroud,background.evidence_void,signal.locked,corruption.intact
91,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.porcelain,eyes.void,interface.respirator,implant.neural_cable,mantle.cable_shroud,background.cold_storage,signal.intermittent,corruption.intact
92,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.respirator,implant.neural_cable,mantle.archive_coat,background.cold_storage,signal.locked,corruption.intact
93,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.porcelain,eyes.fractured,interface.none,implant.neural_cable,mantle.archive_coat,background.evidence_void,signal.intermittent,corruption.checksum_burn
94,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.ceramic,eyes.void,interface.forensic_plate,implant.antenna,mantle.cable_shroud,background.rack_shadow,signal.carrier_echo,corruption.intact
95,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.biometric,interface.none,implant.none,mantle.field_collar,background.rack_shadow,signal.locked,corruption.memory_bleed
96,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.porcelain,eyes.optical_array,interface.none,implant.none,mantle.archive_coat,background.service_tunnel,signal.carrier_echo,corruption.intact
97,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.porcelain,eyes.void,interface.forensic_plate,implant.antenna,mantle.field_collar,background.evidence_void,signal.silent,corruption.absence
98,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.thermal,interface.respirator,implant.none,mantle.cable_shroud,background.anechoic_room,signal.intermittent,corruption.intact
99,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.ceramic,eyes.void,interface.forensic_plate,implant.none,mantle.ceramic_mantle,background.cold_storage,signal.locked,corruption.intact
100,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.optical_array,interface.none,implant.none,mantle.field_collar,background.cold_storage,signal.intermittent,corruption.checksum_burn
101,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.carbon,eyes.biometric,interface.forensic_plate,implant.neural_cable,mantle.archive_coat,background.service_tunnel,signal.intermittent,corruption.scan_shear
102,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.biometric,interface.none,implant.none,mantle.split_shell,background.evidence_void,signal.locked,corruption.intact
103,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.porcelain,eyes.void,interface.respirator,implant.neural_cable,mantle.archive_coat,background.cold_storage,signal.locked,corruption.scan_shear
104,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.carbon,eyes.biometric,interface.none,implant.spinal_bus,mantle.ceramic_mantle,background.rack_shadow,signal.locked,corruption.scan_shear
105,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.carbon,eyes.void,interface.none,implant.spinal_bus,mantle.archive_coat,background.evidence_void,signal.locked,corruption.scan_shear
106,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.reconstructed,eyes.thermal,interface.forensic_plate,implant.antenna,mantle.archive_coat,background.cold_storage,signal.locked,corruption.scan_shear
107,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.biometric,interface.forensic_plate,implant.none,mantle.archive_coat,background.rack_shadow,signal.silent,corruption.intact
108,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.carbon,eyes.fractured,interface.forensic_plate,implant.neural_cable,mantle.ceramic_mantle,background.evidence_void,signal.locked,corruption.intact
109,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.carbon,eyes.biometric,interface.forensic_plate,implant.neural_cable,mantle.archive_coat,background.evidence_void,signal.carrier_echo,corruption.intact
110,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.porcelain,eyes.optical_array,interface.skeletal_interface,implant.none,mantle.ceramic_mantle,background.anechoic_room,signal.locked,corruption.intact
111,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.ceramic,eyes.thermal,interface.none,implant.spinal_bus,mantle.archive_coat,background.cold_storage,signal.locked,corruption.intact
112,feasibility_only_not_final_art,entity.synthetic,access.admin,architecture.inset,material.reconstructed,eyes.optical_array,interface.forensic_plate,implant.memory_spindle,mantle.archive_coat,background.rack_shadow,signal.intermittent,corruption.intact
113,feasibility_only_not_final_art,entity.human,access.user,architecture.inset,material.biosynth,eyes.biometric,interface.forensic_plate,implant.none,mantle.cable_shroud,background.rack_shadow,signal.carrier_echo,corruption.scan_shear
114,feasibility_only_not_final_art,entity.human,access.admin,architecture.inset,material.ceramic,eyes.biometric,interface.none,implant.none,mantle.archive_coat,background.evidence_void,signal.intermittent,corruption.scan_shear
115,feasibility_only_not_final_art,entity.hollow,access.user,architecture.inset,material.carbon,eyes.void,interface.forensic_plate,implant.spinal_bus,mantle.cable_shroud,background.rack_shadow,signal.locked,corruption.packet_ghosting
116,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.inset,material.carbon,eyes.fractured,interface.none,implant.spinal_bus,mantle.cable_shroud,background.evidence_void,signal.carrier_echo,corruption.intact
117,feasibility_only_not_final_art,entity.synthetic,access.admin,architecture.inset,material.biosynth,eyes.biometric,interface.respirator,implant.none,mantle.ceramic_mantle,background.evidence_void,signal.carrier_echo,corruption.scan_shear
118,feasibility_only_not_final_art,entity.hollow,access.admin,architecture.inset,material.carbon,eyes.void,interface.forensic_plate,implant.spinal_bus,mantle.cable_shroud,background.evidence_void,signal.locked,corruption.intact
119,feasibility_only_not_final_art,entity.human,access.admin,architecture.inset,material.carbon,eyes.fractured,interface.forensic_plate,implant.neural_cable,mantle.field_collar,background.cold_storage,signal.locked,corruption.packet_ghosting
120,feasibility_only_not_final_art,entity.human,access.user,architecture.inset,material.reconstructed,eyes.fractured,interface.null_mask,implant.antenna,mantle.cable_shroud,background.evidence_void,signal.carrier_echo,corruption.intact
121,feasibility_only_not_final_art,entity.human,access.user,architecture.inset,material.biosynth,eyes.biometric,interface.respirator,implant.none,mantle.archive_coat,background.anechoic_room,signal.locked,corruption.packet_ghosting
122,feasibility_only_not_final_art,entity.hollow,access.user,architecture.inset,material.porcelain,eyes.optical_array,interface.forensic_plate,implant.none,mantle.split_shell,background.evidence_void,signal.locked,corruption.intact
123,feasibility_only_not_final_art,entity.human,access.admin,architecture.inset,material.biosynth,eyes.biometric,interface.null_mask,implant.none,mantle.archive_coat,background.evidence_void,signal.locked,corruption.intact
124,feasibility_only_not_final_art,entity.specter,access.user,architecture.inset,material.carbon,eyes.fractured,interface.null_mask,implant.none,mantle.split_shell,background.evidence_void,signal.intermittent,corruption.intact
125,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.inset,material.biosynth,eyes.optical_array,interface.forensic_plate,implant.none,mantle.archive_coat,background.service_tunnel,signal.locked,corruption.intact
126,feasibility_only_not_final_art,entity.human,access.user,architecture.inset,material.biosynth,eyes.void,interface.none,implant.none,mantle.ceramic_mantle,background.service_tunnel,signal.locked,corruption.scan_shear
127,feasibility_only_not_final_art,entity.human,access.user,architecture.inset,material.biosynth,eyes.thermal,interface.none,implant.none,mantle.ceramic_mantle,background.evidence_void,signal.locked,corruption.packet_ghosting
128,feasibility_only_not_final_art,entity.hollow,access.user,architecture.inset,material.carbon,eyes.fractured,interface.neural_veil,implant.antenna,mantle.cable_shroud,background.relay_well,signal.locked,corruption.intact
129,feasibility_only_not_final_art,entity.human,access.admin,architecture.inset,material.biosynth,eyes.biometric,interface.null_mask,implant.memory_spindle,mantle.field_collar,background.rack_shadow,signal.carrier_echo,corruption.intact
130,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.inset,material.ceramic,eyes.fractured,interface.none,implant.antenna,mantle.field_collar,background.relay_well,signal.intermittent,corruption.intact
131,feasibility_only_not_final_art,entity.hollow,access.admin,architecture.inset,material.ceramic,eyes.void,interface.forensic_plate,implant.neural_cable,mantle.field_collar,background.relay_well,signal.locked,corruption.intact
132,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.inset,material.porcelain,eyes.thermal,interface.forensic_plate,implant.neural_cable,mantle.archive_coat,background.service_tunnel,signal.intermittent,corruption.packet_ghosting
133,feasibility_only_not_final_art,entity.human,access.user,architecture.inset,material.reconstructed,eyes.biometric,interface.forensic_plate,implant.none,mantle.field_collar,background.service_tunnel,signal.intermittent,corruption.checksum_burn
134,feasibility_only_not_final_art,entity.human,access.user,architecture.inset,material.biosynth,eyes.fractured,interface.none,implant.neural_cable,mantle.field_collar,background.evidence_void,signal.locked,corruption.packet_ghosting
135,feasibility_only_not_final_art,entity.human,access.user,architecture.inset,material.ceramic,eyes.void,interface.none,implant.neural_cable,mantle.field_collar,background.evidence_void,signal.intermittent,corruption.checksum_burn
136,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.inset,material.biosynth,eyes.optical_array,interface.forensic_plate,implant.spinal_bus,mantle.ceramic_mantle,background.rack_shadow,signal.locked,corruption.checksum_burn
137,feasibility_only_not_final_art,entity.human,access.user,architecture.inset,material.biosynth,eyes.thermal,interface.forensic_plate,implant.neural_cable,mantle.field_collar,background.evidence_void,signal.silent,corruption.memory_bleed
138,feasibility_only_not_final_art,entity.human,access.user,architecture.inset,material.porcelain,eyes.void,interface.forensic_plate,implant.none,mantle.field_collar,background.cold_storage,signal.carrier_echo,corruption.intact
139,feasibility_only_not_final_art,entity.human,access.user,architecture.inset,material.biosynth,eyes.biometric,interface.none,implant.none,mantle.field_collar,background.rack_shadow,signal.locked,corruption.intact
140,feasibility_only_not_final_art,entity.hollow,access.user,architecture.inset,material.carbon,eyes.optical_array,interface.neural_veil,implant.none,mantle.ceramic_mantle,background.rack_shadow,signal.locked,corruption.checksum_burn
141,feasibility_only_not_final_art,entity.human,access.user,architecture.inset,material.biosynth,eyes.thermal,interface.respirator,implant.neural_cable,mantle.ceramic_mantle,background.cold_storage,signal.locked,corruption.checksum_burn
142,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.inset,material.porcelain,eyes.thermal,interface.forensic_plate,implant.antenna,mantle.ceramic_mantle,background.evidence_void,signal.locked,corruption.intact
